Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
AM-D02R-J03_Link,-0.0431268231548383,2.96588229739547E-06,-0.0168134725731694,0,0,0,0.08043632042576,3.43988273698759E-05,3.21111842180023E-09,2.02483617660831E-05,6.6900832956598E-05,4.01110111563889E-09,5.07555817335578E-05,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/AM-D02R-J03_Link.STL,0.862745098039216,0.505882352941176,1,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/AM-D02R-J03_Link.STL,,AM-D02-J03-2,Coordinate15,Axis12,AM-D02R-J03_Joint,revolute,0,0.0317,0.085,-1.5708,0,0,ArmR02_Link,0,0,1,40,0,-0.26,2.26,,,,,,,,
ArmR04_Link,-0.00686117747907317,-0.000343691487545927,-0.0846088277791055,0,0,0,1.04409500583111,0.00104011095954884,5.54582885947724E-06,0.000100804321654596,0.00112548620872564,-3.52473397976847E-09,0.000368181975650628,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/ArmR04_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/ArmR04_Link.STL,,ArmR04^AM-DPZONGZHUANGURDF0422-1,Coordinate16,Axis13,ArmR04_Joint,revolute,-0.0662499999999999,0,-0.0341,0,1.5707963267949,0,AM-D02R-J03_Link,0,0,-1,27,0,-1.65,1.65,,,,,,,,
ArmR05_Link,-0.0619910438798228,0.00774804052867251,-0.0327984712284014,0,0,0,0.481598757392941,0.000170910015144692,-1.99340979707043E-05,2.33536976739175E-06,0.000384644043389552,5.20518101014163E-06,0.000407819449326737,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/ArmR05_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/ArmR05_Link.STL,,ArmR05^AM-DPZONGZHUANGURDF0422-2,Coordinate17,Axis14,ArmR05_Link,revolute,-0.013422,-0.03155,-0.15289,1.5708,-1.5708,0,ArmR04_Link,0,0,-1,27,0,-2.268,0,,,,,,,,
ArmR06_Link,0.00197697489052784,-0.00029866613223492,0.070399932077631,0,0,0,0.685972229333382,0.000375896683686662,-4.40756793415575E-07,1.65651918635699E-05,0.00033082134283551,1.72352869147882E-06,0.000173399938125278,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/ArmR06_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/ArmR06_Link.STL,,ArmR06^AM-DPZONGZHUANGURDF0422-2,Coordinate18,Axis15,ArmR06_Link,revolute,-0.0941300000000023,0.00841049999985197,-0.0335000000001275,1.57079632680515,0,-1.5707963267949,ArmR05_Link,0,0,-1,9,0,-1.57,1.57,,,,,,,,
ArmR07_Link,-2.10614983735535E-05,0.000564096194039049,-0.0377010618202428,0,0,0,0.352995085283625,0.000124621924206036,-6.00512473262621E-10,1.43561990453104E-08,0.000143260006631464,8.85533378580569E-07,0.000122726336605249,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/ArmR07_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/ArmR07_Link.STL,,ArmR07^AM-DPZONGZHUANGURDF0422-1,Coordinate19,Axis16,ArmR07_Link,revolute,-0.0382,0,0.138,3.1416,1.5708,0,ArmR06_Link,0,0,-1,9,0,-0.724,1.06,,,,,,,,
ArmR07Output_Link,7.71731040183354E-10,-0.0531454017557065,0.0141797843192026,0,0,0,0.130071892527267,5.94030554789126E-05,5.01007372483657E-13,-3.38312869296657E-12,6.25184504536981E-05,1.8740342666896E-06,5.8546594982044E-05,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/ArmR07Output_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/ArmR07Output_Link.STL,,ArmR07Output^AM-DPZONGZHUANGURDF0422-1,Coordinate20,Axis17,ArmR07Output_Link,revolute,0,0.0195,-0.0381,1.5708,1.5708,0,ArmR07_Link,0,0,-1,9,0,-1.37,1.57,,,,,,,,
Head01_Link,0.0214904224087144,5.8079334512226E-06,0.0229392334201968,0,0,0,0.106110608086451,2.76258242260265E-05,1.57626008922193E-08,3.90639099708499E-06,4.36659344690668E-05,-1.28689075541714E-08,3.96994568810386E-05,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/Head01_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/Head01_Link.STL,,头部舵机01^AM-DPZONGZHUANGURDF0422-1,Coordinate30,Axis28,Head01_Joint,fixed,0.035,-0.37727,-0.0715,1.5708,0,0,Body0422_Link,0,0,0,,,,,,,,,,,,
Head02_Link,7.51284138861275E-06,0.000465723839557435,0.0735640151888706,0,0,0,0.0912528307056479,3.56960544676931E-05,-1.24634564649583E-08,1.73983129696934E-08,2.8336716675259E-05,7.4086187283064E-07,2.15851857393601E-05,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/Head02_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/Head02_Link.STL,,头部旋转01^AM-DPZONGZHUANGURDF0422-1,Coordinate31,Axis26,Head02_Joint,continuous,0.05489,0,0.049534,0,0,0,Head01_Link,0,0,-1,2.9,0,,,,,,,,,,
Head03_Link,0.056611924150412,0.0759206754251844,0.0155091996881729,0,0,0,0.208393586151415,0.00105064534122888,-0.000308740175122687,5.50675028068296E-08,0.000933760783623771,2.77152886301945E-09,0.00119198189832271,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/Head03_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/Head03_Link.STL,,头部旋转02^AM-DPZONGZHUANGURDF0422-1,Coordinate32,Axis27,Head03_Joint,revolute,-0.011682,0.014473,0.122,1.5708,0,0,Head02_Link,0,0,-1,2.9,0,-0.5,1.51,,,,,,,,
Car body_Link,0.013274915864814,0.0126083743604164,-0.0177301781313695,0,0,0,49.5560362612656,0.661614573013741,-0.00086836902618038,0.0210791490786494,0.593372616001856,0.00372634108058718,1.10072188087149,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/Car body_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/Car body_Link.STL,,Copy of 小车主体^AM-DPZONGZHUANGURDF0422-1,Coordinate21,,Car body_Joint,fixed,-0.074393,0.00067373,0.005,0,0,0,base_link,0,0,0,,,,,,,,,,,,
TurnR_Link,1.24182617911028E-07,-1.36463591515756E-06,0.0660184615818389,0,0,0,3.92854765378643,0.00753303234777687,3.92548914413694E-07,-5.57543843482359E-07,0.00818026612021575,-5.58598024892498E-08,0.0148179338426091,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/TurnR_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/TurnR_Link.STL,,小车右转向机构^AM-DPZONGZHUANGURDF0422-1,Coordinate22,Axis18,TurnR_Joint,continuous,0.25089,-0.19801,0.007,-3.1416,0,0,Car body_Link,0,0,-1,,,,,,,,,,,,
Drive wheelR_Link,9.92439883216734E-05,-1.44167757508695E-05,8.28238506941081E-05,0,0,0,1.25907948821826,0.00240868502148516,2.83660991085337E-07,-4.13008854661436E-07,0.0024098759522503,-3.92159473888686E-08,0.00421750224959455,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/Drive wheelR_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/Drive wheelR_Link.STL,,AM-DPX-悬挂装配右驱动轮-1,Coordinate24,Axis20,Drive wheelR_Joint,continuous,0,0,0.174,-1.5708,0,0,TurnR_Link,0,0,1,,,,,,,,,,,,
TurnL_Link,1.24182618521651E-07,-1.36463591540736E-06,0.066018461581839,0,0,0,3.92854765378642,0.00753303234777686,3.92548914419874E-07,-5.57543843484491E-07,0.00818026612021573,-5.58598024878384E-08,0.014817933842609,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/TurnL_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/TurnL_Link.STL,,小车左转向机构^AM-DPZONGZHUANGURDF0422-1,Coordinate23,Axis19,TurnL_Joint,continuous,0.25089,0.19799,0.007,-3.1416,0,0,Car body_Link,0,0,-1,,,,,,,,,,,,
Drive wheelL_Link,-9.74084713653012E-05,-2.38075155862827E-05,-8.28478069241079E-05,0,0,0,1.25907859664244,0.00240836474180758,-2.64326441564308E-07,-4.18499760609378E-07,0.00240999970226586,2.11657962398566E-08,0.00421731103461333,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/Drive wheelL_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/Drive wheelL_Link.STL,,AM-DPX-悬挂装配右驱动轮-2,Coordinate25,Axis21,Drive wheelL_Joint,continuous,0,0,0.174,1.5707963267949,0,0,TurnL_Link,0,0,-1,,,,,,,,,,,,
DrivenR01_Link,0.0173726190663785,-1.17168604624185E-07,-0.0367245020498178,0,0,0,0.0598080316261534,0.000105859610794389,4.79585327531954E-10,-2.44001308565431E-05,0.000102281077310714,-3.36942450072988E-11,7.76290964516089E-05,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/DrivenR01_Link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/DrivenR01_Link.STL,,_________1_173372452047902-2,Coordinate26,Axis22,DrivenR01_Joint,continuous,-0.24961,-0.11251,-0.103,0,0,0,Car body_Link,0,0,-1,,,,,,,,,,,,
DrivenR02_Link,0.00318309879492643,-9.31830168582337E-11,0.00374907639720096,0,0,0,0.521731632360757,0.000598471117780052,-2.7294974671262E-14,-1.43336669604143E-12,0.00059847111791573,-2.42410891089892E-13,0.00106154190422177,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/DrivenR02_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/DrivenR02_Link.STL,,Copy of 从动轮右^AM-DPZONGZHUANGURDF0422-1,Coordinate28,Axis24,DrivenR02_Joint,continuous,0.038817,0.00375,-0.097,1.5708,0,0,DrivenR01_Link,0,0,-1,,,,,,,,,,,,
DrivenL01_Link,0.0173726190663783,-1.17168600349826E-07,-0.0367245020498181,0,0,0,0.059808031626153,0.000105859610794389,4.79585336679649E-10,-2.44001308565432E-05,0.000102281077310714,-3.36942643600829E-11,7.76290964516084E-05,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/DrivenL01_Link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/DrivenL01_Link.STL,,_________1_173372452047902-1,Coordinate27,Axis23,DrivenL01_Joint,continuous,-0.24961,0.11249,-0.102,0,0,0,Car body_Link,0,0,-1,,,,,,,,,,,,
DrivenL02_Link,0.00318309879492654,-9.31833499251411E-11,0.00374907639720093,0,0,0,0.521731632360757,0.000598471117780052,-2.72949739668574E-14,-1.43336669677715E-12,0.00059847111791573,-2.42410895618598E-13,0.00106154190422177,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/DrivenL02_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AM-DPZONGZHUANGURDF20260518/meshes/DrivenL02_Link.STL,,Copy of 从动轮左^AM-DPZONGZHUANGURDF0422-1,Coordinate29,Axis25,DrivenL02_Joint,continuous,0.0388169011381621,0.00375,-0.097,1.5707963267949,0,0,DrivenL01_Link,0,0,-1,,,,,,,,,,,,
